"Source:","D:/Projects/rfidLock/esp8266/control/esp8266RFIDcontrol.sch"
"Date:","7/3/2018 6:52:54 PM"
"Tool:","Eeschema 4.0.7"
"Generator:","D:/Programs/KiCad/bin/scripting/plugins/bom_csv_grouped_by_value_with_fp.py"
"Component Count:","20"
"Ref","Qnty","Value","Cmp name","Footprint","Description","Vendor"
"C1, ","1","10uF","C","Capacitors_SMD:C_1210_HandSoldering","Unpolarized capacitor",""
"C2, ","1","0.1uF","C","Capacitors_SMD:C_1206_HandSoldering","Unpolarized capacitor",""
"C3, ","1","47uF","C","Capacitors_SMD:C_1210_HandSoldering","Unpolarized capacitor",""
"D3, ","1","LED_WIFI","LED","LEDs:LED_0603_HandSoldering","LED generic",""
"J1, ","1","C_DOOR","Conn_01x02","jst:CONNECTOR_JST_SH_2","Generic connector, single row, 01x02",""
"J2, ","1","C_STRIKE","Conn_01x02","Connectors_Terminal_Blocks:TerminalBlock_bornier-2_P5.08mm","Generic connector, single row, 01x02",""
"J3, ","1","Conn_01x05","Conn_01x05","jst:CONNECTOR_JST_SH_5","Generic connector, single row, 01x05",""
"J4, ","1","C_PWR","Conn_01x02","jst:CONNECTOR_JST_SH_2","Generic connector, single row, 01x02",""
"J5, ","1","Barrel_Jack","Barrel_Jack","Connectors:BARREL_JACK","DC Barrel Jack",""
"K1, ","1","RTE24005F","RTE24005F","esp-control:RTE24005F","",""
"L1, ","1","4.7uH","L","Inductors_SMD:L_Wuerth_HCI-5040","Inductor",""
"Q1, ","1","Q_PNP_CBE","Q_PNP_CBE","TO_SOT_Packages_SMD:SOT-23_Handsoldering","Transistor PNP (general)",""
"R1, ","1","460","R","Resistors_SMD:R_0805_HandSoldering","Resistor",""
"R2, ","1","54.9k","R","Resistors_SMD:R_0805_HandSoldering","Resistor",""
"R3, ","1","10k","R","Resistors_SMD:R_0805_HandSoldering","Resistor",""
"R6, R4, ","2","1k","R","Resistors_SMD:R_0805_HandSoldering","Resistor",""
"SW1, ","1","SW_RESET","SW_SPST","button_smd_2_pin:button_smd_2_pin","Single Pole Single Throw (SPST) switch",""
"U1, ","1","TPS561208","TPS561208","TO_SOT_Packages_SMD:SOT-23-6_Handsoldering","",""
"U2, ","1","LoLinESP8266","LoLinESP8266","esp-control:LOLIN_NODEMCU","",""
